Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PINEVALE,2 Tampines Street 73  #10-02 ,1,119,Strata,919000,-,7723,717,2019-12,Executive Condominium,99 Yrs From 31/01/1997,1999,Resale,HDB,18,52,528823,East Region,Tampines
WHITEWATER,23 Pasir Ris Street 72  #09-06 ,1,105,Strata,782000,-,7448,692,2019-12,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518765,East Region,Pasir Ris
BELYSA,55 Pasir Ris Drive 1  #06-04 ,1,83,Strata,815000,-,9819,912,2019-12,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519530,East Region,Pasir Ris
SIMEI GREEN CONDOMINIUM,1 Simei Street 4  #11-03 ,1,159,Strata,1210000,-,7610,707,2019-12,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,Private,18,52,529861,East Region,Tampines
BELYSA,59 Pasir Ris Drive 1  #12-15 ,1,103,Strata,978000,-,9495,882,2019-12,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519532,East Region,Pasir Ris
EASTVALE,33 Pasir Ris Drive 3  #04-08 ,1,113,Strata,888000,-,7858,730,2019-12,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,HDB,18,51,519492,East Region,Pasir Ris
WHITEWATER,23 Pasir Ris Street 72  #14-06 ,1,105,Strata,750000,-,7143,664,2019-12,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518765,East Region,Pasir Ris
WHITEWATER,23 Pasir Ris Street 72  #15-06 ,1,105,Strata,785000,-,7476,695,2019-12,Executive Condominium,99 Yrs From 23/07/2002,2005,Resale,HDB,18,51,518765,East Region,Pasir Ris
ARC AT TAMPINES,19 Tampines Avenue 8  #08-31 ,1,97,Strata,955000,-,9845,915,2019-12,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529603,East Region,Tampines
ARC AT TAMPINES,3 Tampines Avenue 8  #14-01 ,1,120,Strata,1180000,-,9833,914,2019-11,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529595,East Region,Tampines
SIMEI GREEN CONDOMINIUM,15 Simei Street 4  #11-03 ,1,159,Strata,1260000,-,7925,736,2019-11,Executive Condominium,99 Yrs From 14/11/1996,1999,Resale,HDB,18,52,529868,East Region,Tampines
ARC AT TAMPINES,21 Tampines Avenue 8  #02-34 ,1,89,Strata,850000,-,9551,887,2019-11,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529604,East Region,Tampines
EASTVALE,37 Pasir Ris Drive 3  #01-02 ,1,119,Strata,880000,-,7395,687,2019-11,Executive Condominium,99 Yrs From 26/06/1996,1999,Resale,Private,18,51,519494,East Region,Pasir Ris
ARC AT TAMPINES,5 Tampines Avenue 8  #02-08 ,1,89,Strata,880000,-,9888,919,2019-11,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,HDB,18,52,529596,East Region,Tampines
THE ESPARIS,7A Pasir Ris Drive 4  #02-09 ,1,120,Strata,955000,-,7958,739,2019-11,Executive Condominium,99 Yrs From 21/01/2002,2005,Resale,HDB,18,51,519460,East Region,Pasir Ris
BELYSA,57 Pasir Ris Drive 1  #10-10 ,1,96,Strata,938888,-,9780,909,2019-11,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
ARC AT TAMPINES,19 Tampines Avenue 8  #10-30 ,1,89,Strata,965000,-,10843,1007,2019-11,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529603,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #16-12 ,1,113,Strata,1055000,-,9336,867,2019-11,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,Private,18,51,519531,East Region,Pasir Ris
THE TAMPINES TRILLIANT,15 Tampines Central 7  #13-11 ,1,105,Strata,1130000,-,10762,1000,2019-11,Executive Condominium,99 Yrs From 13/07/2011,2015,Resale,Private,18,52,528771,East Region,Tampines
ARC AT TAMPINES,5 Tampines Avenue 8  #15-05 ,1,105,Strata,1068900,-,10180,946,2019-11,Executive Condominium,99 Yrs From 22/02/2011,2014,Resale,Private,18,52,529596,East Region,Tampines
BELYSA,57 Pasir Ris Drive 1  #06-05 ,1,90,Strata,870000,-,9667,898,2019-11,Executive Condominium,99 Yrs From 24/01/2011,2014,Resale,HDB,18,51,519531,East Region,Pasir Ris
